cell_number,group,Vo,Vrev,Gs_pval,Vo-Vrev,included
26,AVA_AVB_l1,-44.681302295193412,-22.944612306536502,0.14556710936264466,-21.736689988656909,False
27,AVA_AVB_l1,-54.344949080023213,61.612026963771093,0.684913209774766,-115.9569760437943,False
28,AVA_AVB_l1,-54.162693295365472,-64.584115746221698,0.0072437072473694741,10.421422450856227,True
29,AVA_AVB_l1,-49.594078685798969,-54.476140427712977,0.20721326142195678,4.8820617419140078,False
30,AVA_AVB_l1,-40.549155361494286,-75.364549975300207,0.00078057814302996741,34.815394613805921,True
31,AVA_AVB_l1,-32.991260166236437,-109.07672752956881,0.11341434070926053,76.085467363332384,False
32,AVA_AVB_l1,-21.971871261704141,-48.143960059615104,0.0060714985829444833,26.172088797910963,True
33,AVA_AVB_l1,3.650120318120881,26.742482645278596,0.52112577948985561,-23.092362327157716,False
34,AVA_AVB_l1,-36.526976489813642,-126.17241509387661,0.1137793989599136,89.645438604062974,False
35,AVA_AVB_l1,23.16088876064795,-26.012431411182614,0.24831210342765508,49.173320171830568,False
37,AVA_AVB_l1,-36.289839416039399,-317.26989326405698,0.70801319368496562,280.98005384801758,False
38,AVA_AVB_l1,-33.005433721032375,40.927956503498898,0.3059165337457751,-73.93339022453128,False
39,AVA_AVB_l1,-46.175960768250533,-130.84066841149533,0.28451433390692304,84.664707643244796,False
40,AVA_AVB_l1,-28.737226520886473,-68.692779131796726,2.1119403696010473e-07,39.955552610910253,True
41,AVA_AVB_l1,-24.058759971719805,-61.003822067823094,7.1809723717447372e-09,36.945062096103285,True
42,AVA_AVB_l1,-39.230013416602027,-65.801101663860067,1.3674332191837215e-07,26.571088247258039,True
43,AVA_AVB_l1,-45.496782545467269,-75.558118553315964,0.40640122643605492,30.061336007848695,False
44,AVA_AVB_l1,-45.721821267687346,-109.0902632834557,0.23774772215432685,63.368442015768352,False
45,AVA_AVB_l1,-30.980322313043569,-58.025093659159197,0.013841267798338663,27.044771346115628,True
46,AVA_AVB_l1,-27.028843472597401,-34.944604938831468,0.0097912358724369809,7.9157614662340663,True
47,AVA_AVB_l1,-28.19660086748106,-139.12232394325687,0.36605526856156223,110.92572307577581,False
48,AVA_AVB_l1,-30.576507804978053,-127.63815656766367,0.29278297069646275,97.061648762685621,False
49,AVA_AVB_l1,-50.200155723498497,-22.973280902193675,0.007355545716264884,-27.226874821304822,True
50,AVA_AVB_l1,-28.586595890604023,22.227211392266078,0.060759105033211629,-50.813807282870101,False
51,AVA_AVB_l1,-61.990793850712578,-81.944234931414613,0.36855956176667559,19.953441080702035,False
52,AVA_AVB_l1,-19.648903451746079,-16.336915146006383,0.086083431304029526,-3.3119883057396962,False
53,AVA_AVB_l1,-34.314360212260439,0.7334171828835635,0.072614794513575026,-35.047777395144003,False
54,AVA_AVB_l1,-27.100115206866825,-215.02552120796477,0.88305954902999373,187.92540600109794,False
55,AVA_AVB_l1,-31.298499563426368,-96.369851612426515,0.069680327296228722,65.071352049000154,False
56,AVA_AVB_l1,5.5115055288518864,-69.725082988680512,0.18338985336543095,75.236588517532397,False
57,AVA_AVB_l1,-22.201005393858114,47.725834875849948,0.87633736665936079,-69.926840269708066,False
58,AVA_AVB_l1,-12.930908341574479,-27.753894009680444,0.45246668770497755,14.822985668105964,False
59,AVA_AVB_l1,-19.52867297827752,3517.2084080320524,0.98310232008173815,-3536.7370810103298,False
60,AVB_AVA_l1,-23.14364026493859,-71.851848258253966,0.014193296420431543,48.708207993315376,True
61,AVB_AVA_l1,-18.099445668257498,-16.860720641621366,0.31076115284946082,-1.238725026636132,False
62,AVB_AVA_l1,-25.19459405773372,204.54651098142406,0.88235715779814328,-229.74110503915779,False
63,AVB_AVA_l1,-35.901157950482606,-67.172870941755448,0.027592300451983867,31.271712991272842,True
64,AVB_AVA_l1,-22.572322371259997,-99.506415754955299,0.9061718339460163,76.934093383695298,False
65,AVB_AVA_l1,-23.702207541580496,-10.709973117574544,0.085843574610492385,-12.992234424005952,False
66,AVB_AVA_l1,-44.203896156086756,-56.318503322197039,0.0010476853383044567,12.114607166110282,True
68,AVB_AVA_l1,-49.716808876409949,-26.331969711324284,0.076731021342226077,-23.384839165085666,False
69,AVB_AVA_l1,-28.440724129196038,-61.260237501229426,2.1833937584552853e-11,32.819513372033384,True
70,AVB_AVA_l1,-31.723548005951848,16.416733114114805,0.40644978827938549,-48.140281120066653,False
71,AVB_AVA_l1,-31.929344634500708,-71.392185795333191,2.309540000087592e-11,39.462841160832483,True
72,AVB_AVA_l1,-23.594596220309327,-64.449423110261108,5.731322407098068e-13,40.854826889951781,True
73,AVB_AVA_l1,-31.40056971858559,-43.239180445315398,0.040389005467469596,11.838610726729808,True
74,AVB_AVA_l1,-45.054221658613791,-67.402083472478068,2.6846430441983215e-05,22.347861813864277,True
75,AVB_AVA_l1,-52.054901813038455,-167.30419543927661,0.34147448397736857,115.24929362623816,False
96,AVB_AVA_ttx,-36.415605736289898,-103.86415068685677,0.11929210267543174,67.448544950566884,False
97,AVB_AVA_ttx,-17.069223966617045,-125.59889101855646,0.80089994344367055,108.52966705193941,False
98,AVB_AVA_ttx,-35.918334131683125,-66.41086988493096,1.2519727117182128e-10,30.492535753247836,True
99,AVB_AVA_ttx,-40.11523352981574,-4.7638870243677855,0.071573798160160573,-35.351346505447957,False
100,AVB_AVA_ttx,-50.037068899285089,-69.228244637001083,2.9010890688873403e-19,19.191175737715994,True
103,AVB_AVA_ttx,-37.201127895066612,-74.565736155875797,1.7810283642166058e-10,37.364608260809185,True
104,AVB_AVA_ttx,-33.803372357813231,-220.15747290451102,0.76902015306829985,186.35410054669779,False
105,AVB_AVA_ttx,-44.902065476231122,-65.289993981692021,1.9862211224825642e-05,20.387928505460899,True
106,AVB_AVA_ttx,-41.232899386775152,-68.357332544127104,2.772667686788879e-05,27.124433157351952,True
107,AVB_AVA_ttx,-29.485400513188409,-65.730039265250355,6.431936381126847e-05,36.244638752061945,True
88,ASH_AVB_l1,-24.615355209348415,-79.897209564720939,1.6612319241775138e-05,55.281854355372523,True
89,ASH_AVB_l1,-31.135313590921939,-22.307753461662124,0.24468332480666,-8.8275601292598154,False
90,ASH_AVB_l1,-35.949758112127725,-130.00315234051959,0.49683411788740739,94.053394228391866,False
92,ASH_AVB_l1,-30.86477217924303,-63.265107833642652,4.7833327252089106e-10,32.400335654399626,True
93,ASH_AVB_l1,-31.741320085861148,246.18144915160556,0.7110014732762453,-277.9227692374667,False
94,ASH_AVB_l1,-34.437543385440534,-73.028961394438582,1.3598850494184869e-07,38.591418008998048,True
